committee_name,person_name,end_date,source_url,organization_id,role,start_date
Rules Committee,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/681,Alternate Member,
Standing Committee on Health,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/692,Alternate Member,
NCOP Co-operative Governance and Traditional Affairs,Amos Gerald Matila,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1047,za.org.pa.www/core_organisation/199,Member,
NCOP Security and Constitutional Development,Amos Gerald Matila,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1047,za.org.pa.www/core_organisation/208,Member,
Ad Hoc Committee on Protection of State Information Bill (NCOP),Amos Gerald Matila,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1047,za.org.pa.www/core_organisation/150,Member,
NCOP Petitions and Private Members Legislative Proposals,Amos Gerald Matila,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1047,za.org.pa.www/core_organisation/205,Member,
AdHoc Committee on 1913 Land Act,Anchen Margaretha Dreyer,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,za.org.pa.www/core_organisation/153,Member,
Public Works,Anchen Margaretha Dreyer,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,za.org.pa.www/core_organisation/230,Member,
Ethics and Members' Interest,Anchen Margaretha Dreyer,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,za.org.pa.www/core_organisation/177,Member,
Home Affairs,André Hurtley Gaum,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/633,za.org.pa.www/core_organisation/182,Member,
Joint Committe on Delegated Legislation,André Hurtley Gaum,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/633,za.org.pa.www/core_organisation/187,Member,
Rules of the National Assembly,André Hurtley Gaum,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/633,za.org.pa.www/core_organisation/235,Member,
Joint Committee on Ethics and Members' Interests,Andrew Mlangeni,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,za.org.pa.www/core_organisation/89,Member,
Defence and Military Veterans,Andrew Mlangeni,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,za.org.pa.www/core_organisation/174,Member,
Ethics and Members' Interest,Andrew Mlangeni,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,za.org.pa.www/core_organisation/177,Member,
Private Members' Legislative Proposals and Special Petitions,Andricus Pieter Van der Westhuizen,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/996,za.org.pa.www/core_organisation/222,Member,
Labour,Andricus Pieter Van der Westhuizen,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/996,za.org.pa.www/core_organisation/194,Member,
Higher Education,Annelie Lotriet,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/700,za.org.pa.www/core_organisation/181,Member,
Police,Annelizé van Wyk,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1015,za.org.pa.www/core_organisation/216,Chairperson,
Portfolio Committee On Police,Annelizé van Wyk,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1015,za.org.pa.www/core_organisation/97,Member,
"Agriculture, Forestry and Fisheries",Annette Steyn,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/955,za.org.pa.www/core_organisation/155,Member,
Basic Education,Annette Theresa Lovemore,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/702,za.org.pa.www/core_organisation/165,Member,
Budget Committee,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/693,Committee Member,
Chairpersons’ Forum,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/694,Committee Member,
Cultural Affairs and Sport,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/684,Committee Member,
Disabled and Youth Committee,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/685,Committee Member,
Gender Committee,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/680,Committee Member,
Rules Committee,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/681,Committee Member,
Standing Committee on Community Development,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/688,Committee Member,
Standing Committee on Premier,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/683,Committee Member,
Conduct Committee,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/679,Alternate Member,
Petitions Committee,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/691,Alternate Member,
Standing Committee on Education,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/689,Alternate Member,
Standing Committee on Community Safety,Anroux Johanna Du Toit Marais,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,za.org.pa.www/core_organisation/682,Committee Member,
Trade and Industry,Anton De Waal Alberts,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/546,za.org.pa.www/core_organisation/244,Member,
Labour,Anton De Waal Alberts,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/546,za.org.pa.www/core_organisation/194,Member,
Committee On Petitions and Members' Legislative Proposals,Archibold Jomo Nyambi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1060,za.org.pa.www/core_organisation/90,Member,
NCOP Economic Development,Archibold Jomo Nyambi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1060,za.org.pa.www/core_organisation/200,Member,
NCOP Labour and Public Enterprises,Archibold Jomo Nyambi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1060,za.org.pa.www/core_organisation/203,Member,
NCOP Petitions and Private Members Legislative Proposals,Archibold Jomo Nyambi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1060,za.org.pa.www/core_organisation/205,Chairperson,
NCOP Public Services,Archibold Jomo Nyambi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1060,za.org.pa.www/core_organisation/206,Member,
NCOP Trade and International Relations,Archibold Jomo Nyambi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1060,za.org.pa.www/core_organisation/210,Member,
NCOP Land and Environmental Affairs,Archibold Jomo Nyambi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1060,za.org.pa.www/core_organisation/204,Alternate Member,
Budget Committee,Archie Figlan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,za.org.pa.www/core_organisation/693,Committee Member,
Chairpersons’ Forum,Archie Figlan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,za.org.pa.www/core_organisation/694,Committee Member,
Disabled and Youth Committee,Archie Figlan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,za.org.pa.www/core_organisation/685,Committee Member,
Gender Committee,Archie Figlan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,za.org.pa.www/core_organisation/680,Committee Member,
Petitions Committee,Archie Figlan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,za.org.pa.www/core_organisation/691,Committee Member,
Standing Committee on Finance and Economic Development,Archie Figlan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,za.org.pa.www/core_organisation/695,Committee Member,
Standing Committee on Human Settlement,Archie Figlan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,za.org.pa.www/core_organisation/696,Committee Member,
Standing Committee on Premier,Archie Figlan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,za.org.pa.www/core_organisation/683,Committee Member,
Standing Committee on Agriculture and environmental Planning,Archie Figlan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,za.org.pa.www/core_organisation/687,Alternate Member,
Standing Committee on Local Government Oversight,Archie Figlan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,za.org.pa.www/core_organisation/697,Alternate Member,
Standing Committee on Local Government,Archie Figlan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,za.org.pa.www/core_organisation/698,Alternate Member,
Rules of the National Assembly,Armiston Watson,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/999,za.org.pa.www/core_organisation/235,Member,
NCOP Land and Environmental Affairs,Armiston Watson,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/999,za.org.pa.www/core_organisation/204,Member,
Constitutional Review Committee,Armiston Watson,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/999,za.org.pa.www/core_organisation/170,Member,
Communications,Arron Cecil Steyn,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/956,za.org.pa.www/core_organisation/169,Member,
AdHoc Committee on 1913 Land Act,Arron Cecil Steyn,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/956,za.org.pa.www/core_organisation/153,Member,
Public Accounts,Arthur Roy Ainslie,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/545,za.org.pa.www/core_organisation/225,Member,
Constitutional Review Committee,Arthur Roy Ainslie,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/545,za.org.pa.www/core_organisation/170,Member,
Agriculture and Rural Development Committee,A. Singh,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1874,za.org.pa.www/core_organisation/733,Committee Member,
Community Safety and Liason Committee,A. Singh,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1874,za.org.pa.www/core_organisation/734,Alternate Member,
Conservation and Environment Committee,A. Singh,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1874,za.org.pa.www/core_organisation/735,Chair,
Conservation and Environment Committee,A. Singh,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1874,za.org.pa.www/core_organisation/735,Committee Member,
SCOPA Committee,A. Singh,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1874,za.org.pa.www/core_organisation/736,Alternate Member,
Transport Committee,A. Singh,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1874,za.org.pa.www/core_organisation/737,Committee Member,
Public Enterprises,Aubrey Dundubala Mokoena,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/804,za.org.pa.www/core_organisation/227,Member,
Ethics and Members' Interest,Ayanda Dlodlo,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/605,za.org.pa.www/core_organisation/177,Member,
Public Accounts,Azwihangwisi Faith Muthambi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/836,za.org.pa.www/core_organisation/225,Member,
Ad Hoc Committee on President’s Submission in response to Public Protector’s Report,Azwihangwisi Faith Muthambi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/836,za.org.pa.www/core_organisation/778,Member,
Communications,Azwihangwisi Faith Muthambi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/836,za.org.pa.www/core_organisation/169,Member,
NCOP Economic Development,Bafumani Aaron Mnguni,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1052,za.org.pa.www/core_organisation/200,Member,
NCOP Trade and International Relations,Bafumani Aaron Mnguni,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1052,za.org.pa.www/core_organisation/210,Member,
Constitutional Review Committee,Bafumani Aaron Mnguni,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1052,za.org.pa.www/core_organisation/170,Member,
Portfolio Committee On Water and Environmental Affairs,Bantubonke Harrington Holomisa,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/659,za.org.pa.www/core_organisation/132,Member,
Economic Development,Bantubonke Harrington Holomisa,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/659,za.org.pa.www/core_organisation/175,Alternate Member,
International Relations and Cooperation,Bantubonke Harrington Holomisa,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/659,za.org.pa.www/core_organisation/186,Alternate Member,
Sport and Recreation,Bantubonke Harrington Holomisa,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/659,za.org.pa.www/core_organisation/239,Alternate Member,
Water Affairs and Environmental Affairs,Bantubonke Harrington Holomisa,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/659,za.org.pa.www/core_organisation/246,Alternate Member,
Portfolio Committee On International Relations and Co-operation,Bantubonke Harrington Holomisa,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/659,za.org.pa.www/core_organisation/127,Member,
Ethics and Members' Interest,Beatrice Thembekile Ngcobo,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/849,za.org.pa.www/core_organisation/177,Member,
Health,Beatrice Thembekile Ngcobo,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/849,za.org.pa.www/core_organisation/180,Member,
Portfolio Committee On Human Settlements,Beauty Nomhle Dambuza,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/587,za.org.pa.www/core_organisation/128,Member,
AdHoc Committee on 1913 Land Act,Beauty Nomhle Dambuza,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/587,za.org.pa.www/core_organisation/153,Member,
Human Settlements,Beauty Nomhle Dambuza,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/587,za.org.pa.www/core_organisation/183,Chairperson,
Trade and Industry,Benjamin Turok,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/984,za.org.pa.www/core_organisation/244,Alternate Member,
Ethics and Members' Interest,Benjamin Turok,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/984,za.org.pa.www/core_organisation/177,Alternate Member,
"Select Committee on Women, Children and People with Disabilities",Bertha Peace Mabe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1037,za.org.pa.www/core_organisation/119,Member,
NCOP Land and Environmental Affairs,Bertha Peace Mabe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1037,za.org.pa.www/core_organisation/204,Member,
"NCOP Women, Children and People with Disabilities",Bertha Peace Mabe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1037,za.org.pa.www/core_organisation/211,Chairperson,
Ethics and Members' Interest,Bertha Peace Mabe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1037,za.org.pa.www/core_organisation/177,Member,
Energy Portfolio Committee,Beryl Delores Ferguson,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/624,za.org.pa.www/core_organisation/176,Member,
Water Affairs and Environmental Affairs,Beryl Delores Ferguson,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/624,za.org.pa.www/core_organisation/246,Member,
NCOP Education and Recreation,Beverley Lynnette Abrahams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1018,za.org.pa.www/core_organisation/201,Alternate Member,
NCOP Social Services,Beverley Lynnette Abrahams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1018,za.org.pa.www/core_organisation/209,Alternate Member,
NCOP Trade and International Relations,Beverley Lynnette Abrahams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1018,za.org.pa.www/core_organisation/210,Member,
NCOP Economic Development,Beverley Lynnette Abrahams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1018,za.org.pa.www/core_organisation/200,Member,
Finance Committee,Belinda Francis Scott,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1876,za.org.pa.www/core_organisation/740,Chair,
Finance Committee,Belinda Francis Scott,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1876,za.org.pa.www/core_organisation/740,Committee Member,
Loc Gvt & Traditional Affairs,Belinda Francis Scott,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1876,za.org.pa.www/core_organisation/741,Alternate Member,
Economic Development and Tourism Committee,Belinda Francis Scott,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1876,za.org.pa.www/core_organisation/739,Committee Member,
SCOPA Committee,Belinda Francis Scott,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1876,za.org.pa.www/core_organisation/736,Committee Member,
Joint Committee on Ethics and Members' Interests,Bhekizizwe Abram Radebe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/899,za.org.pa.www/core_organisation/89,Member,
Ethics and Members' Interest,Bhekizizwe Abram Radebe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/899,za.org.pa.www/core_organisation/177,Member,
Trade and Industry,Bhekizizwe Abram Radebe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/899,za.org.pa.www/core_organisation/244,Member,
Rural Development and Land Reform,Bhekizizwe Zeblon Zulu,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1012,za.org.pa.www/core_organisation/236,Member,
Arts and Culture Committee,Bonga Nkanyiso Mdletshe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1878,za.org.pa.www/core_organisation/742,Alternate Member,
Conservation and Environment Committee,Bonga Nkanyiso Mdletshe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1878,za.org.pa.www/core_organisation/735,Committee Member,
Coop Gov & Trad Affairs,Bonga Nkanyiso Mdletshe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1878,za.org.pa.www/core_organisation/743,Committee Member,
Health Committee,Bonga Nkanyiso Mdletshe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1878,za.org.pa.www/core_organisation/744,Committee Member,
Agriculture and Rural Development Committee,Bonga Nkanyiso Mdletshe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1878,za.org.pa.www/core_organisation/733,Alternate Member,
Premier and Royal Household Committee,Bonga Nkanyiso Mdletshe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1878,za.org.pa.www/core_organisation/738,Committee Member,
Community Safety and Liason Committee,B. Ntuli,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1875,za.org.pa.www/core_organisation/734,Committee Member,
Conservation and Environment Committee,B. Ntuli,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1875,za.org.pa.www/core_organisation/735,Alternate Member,
Premier and Royal Household Committee,B. Ntuli,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1875,za.org.pa.www/core_organisation/738,Committee Member,
Transport Committee,B. Ntuli,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1875,za.org.pa.www/core_organisation/737,Committee Member,
