Status,TelephoneNumber,AlphaCode,Branches,RoleDescription,CustomerAlphaCode,FaxNumber,MasterID,EmailAddress,RegistrationNumber,LongName,PostalAddress,source_url,NatureOfBusiness,PhysicalAddress,Website
Current,+27 11 262 3833,APF,,Equity Issuer,APF,+27 11 262 2656,3771,,2005/015057/06,ACCELERATE PROPERTY FUND LTD,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3771,"Accelerate is a property company (which will be classified as a REIT upon Listing), formed for the purpose of
investing in direct real estate, for purposes of income generation and capital growth.",,
Current,+27 11 647 7111,SPKPM,,Sponsor,SPKPM,+27 11 947 8000,786,Robbie.Cheadle@kpmg.co.za,1999/012876/07,KPMG Services (Pty) Ltd,Private Bag 9 Parkview    Johannesburg 2122,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3771,,Wanooka Place St Andrews Road Parktown   Johannesburg 2193,http://www.kpmg.co.za
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3771,,,
Current,+27 11 340 3333,ANA,,Equity Issuer,ANA,+27 86 670 3295,2117,,1998/012245/06,ADRENNA PROPERTY GROUP LIMITED,PO Box 62213     MARSHALLTOWN 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2117,The group invests in income-producing fixed property.,2969 William Nicol Drive Wedgewood Link    BRYANSTON 2021,
Current,,RBET,,Audit Firm,RBET,,3691,,900435,RSM BETTY & DICKSON,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2117,,,
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2117,,,
Current,+27 11 350 4000,ABSADI,,Debt Issuer,ABSA,+27 11 350 4009,3644,groupsec@absa.co.za,1986/004794/06,ABSA BANK LIMITED,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3644,,,http://www.absa.co.za
Current,+27 11 8956000,DSACL,,Debt Sponsor,ABCAP1,+27 11 8957829,3503,debtsponsor1@barclayscapital.com,1986/004794/06,ABSA CAPITAL,Private Bag X10056     Sandton 2146,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3644,,15 Alice Lane     Sandton 2196,http://www.absacapital.com
Current,+27 11 2445316,ADRI,,Interest Rate Issuer,ADR,,3728,info@adcorp.co.za,1974/001804/06,ADCORP HOLDINGS LIMITED,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3728,"Adcorp Holdings Limited is an investment holding company whose subsidiaries carry on business, in South Africa, Africa
and Australia, in the permanent recruitment and flexible staffing sectors, independent outsourcing as well as in the
segments of business process outsourcing, training and financial services.",,http://www.adcorp.co.za
Current,+27 11 282 4874,DSRMB,,Debt Sponsor,RANM,+27 11 282 4833,3514,DebtSponsorTeam@rmb.co.za,1929/001225/06,RAND MERCHANT BANK,P O Box 786273     SANDTON 2146,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3728,,1 Merchant Place Cnr Fredman Drive & Rivonia Road Sandton   Johannesburg 2196,www.rmb.co.za
Current,+264 061 0227647,TRSC,,Transfer Secretary,TRSC,+264 061 0248531,854,,,Transfer Secretaries,P O Box 2410 Windhoek     ,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3728,,,
Current,,BIAF2,,Interest Rate Issuer,AC03/L,,2900,,2006/013605/07,ACCELERATOR FUND 2 (PTY) LTD,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2900,,,http://www.standardbank.co.za/sreports
Current,+27 86 023 2625,AIP,,Equity Issuer,AIP,,2576,info@adcock.com,2007/016236/06,ADCOCK INGRAM HOLDINGS LIMITED,Private Bag X69     BRYANSTON 2021,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2576,"The Adcock Ingram Group is a leading South African healthcare group, operating in three geographical areas, namely Southern Africa, Rest of
Africa and India. The Southern African business consists of three principal divisions; an Over the Counter (OTC) division selling a range of OTC
products that can be purchased without a prescription through pharmacies and FMCG retailers; a Prescription division selling a range of branded
and generic prescription products; and a Hospital products and services division.
The Companies Act requires that the Company produces a fair review of the business of the Group including a description of the major risks, its
development and performance during the year and the financial position of the Group at the end of the financial year. These are set out in the
business commentaries on pages 23 to 41 of the integrated report. Other key performance indicators and information relating to sustainability are
set out on pages 42 to 47 of the integrated report.",1 New Road     MIDRAND 1682,http://www.adcock.com
Current,,E&Y,,Audit Firm,E&Y,,3680,,908201,ERNST & YOUNG INC,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2576,,,
Current,+27 11 775 7000,SPDEU,,Sponsor,SPDEU,+27 11 775 7449,800,gail.bruce@db.com ,1995/011798/07,Deutsche Securities SA (Pty) Ltd,Private Bag X9933     SANDTON 2196,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2576,,3 Exchange Square 87 Maude Street    Johannesburg 2196,http://www.db.co.za
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2576,,,
Current,+27 11 806 8700,AFE,,Equity Issuer,AFE,+27 11 806 8701,881,groupcommunication@aeci.co.za,1924/002590/06,A E C I LIMITED,Private Bag X21     GALLO MANOR 2052,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=881,"AECI is an explosives and specialty chemicals group domiciled in South Africa. Group businesses service the mining and manufacturing sectors both locally and internationally.
The focus for growth is on Africa, South East Asia and South America. AECI’s businesses are characterised by application know-how and service delivery.
They often operate in niche markets and are supported by leading technologies which are developed In-house or are sourced from international partners.","First Floor, AECI Place 24 The Woodlands Woodlands Drive   WOODMEAD 2146",http://www.aeci.co.za
Current,,KPMGI,,Audit Firm,KPMGI,,3676,,4620207565,KPMG INCORPORATED,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=881,,,
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=881,,,
Current,+27 11 406 4100,ACE,,Equity Issuer,ACE,+27 11 406 4047,2346,info@accentuateltd.co.za,2004/029691/06,ACCENTUATE LIMITED,PO Box 1754     ALBERTON 1450,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2346,"The group is engaged in the manufacturing, distribution and
installation of flooring solutions, the manufacture and supply of
chemical cleaning and infrastructural maintenance solutions, and the
supply of chemicals and equipment for water treatment solutions.",32 Steele Street     STEELEDALE 2197,http://www.accentuateltd.co.za
Current,,MAZ1,,Audit Firm,MAZ1,,3672,,2003/029561/07,Mazars Inc.,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2346,,,
Current,+27 11 268 6231,DABRI,,Designated Advisor,SPBRI,+27 11 268 6538,48,enquiries@bridgecapital.co.za,1998/016302/07,Bridge Capital Advisors (Pty) Ltd,PO Box 651010 Benmore    Johannesburg 2010,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2346,,2nd Floor 27 Fricker Road Illovo   Johannesburg 2196,http://www.bridgecapital.co.za
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2346,,,
Current,+27 11 2569000,BIABIL,,Interest Rate Issuer,ABL,+27 11 25693014,2753,investor.relations@africanbank.co.za,1946/021193/06,AFRICAN BANK INVESTMENTS LIMITED,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2753,"African Bank Investments Limited (registration number
1946/021193/06), a public limited liability company incorporated in South Africa on 30 March 1946 and listed on the JSE (and registered as a controlling company of African Bank in terms of the Banks Act), with registered office situated at 59 16th Road,
Halfway House, Midrand;",,http://www.africanbank.co.za
Current,+27 86 154 6572,LINK,,Transfer Secretary,LINK,+27 86 674 4381,857,info@linkmarketservices.co.za,2000/0072369/07,Link Market Services SA (Pty) Ltd,P O Box 4844     JOHANNESBURG 2000,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2753,,,
Current,,BIABSP,,Interest Rate Issuer,ACPL,,2822,,1986/004794/06,ABSA CAPITAL,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2822,,,
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2822,,,
Current,+27 11 3504000,BIABS,,Interest Rate Issuer,ABSA,+27 11 3504009,2858,groupsec@absa.co.za,1986/004794/06,ABSA BANK LIMITED,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2858,,,http://www.absa.co.za
Current,+27 11 8956000,DSACL,,Debt Sponsor,ABCAP1,+27 11 8957829,3503,debtsponsor1@barclayscapital.com,1986/004794/06,ABSA CAPITAL,Private Bag X10056     Sandton 2146,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2858,,15 Alice Lane     Sandton 2196,http://www.absacapital.com
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2858,,,
Suspended,+27 11 907 7364,ATR,,Equity Issuer,ATR,+27 11 907 2772,2366,africatower@worldonline.co.za,2000/027374/06,AFRICA CELLULAR TOWERS LIMITED,P O Box 1078     JUKSKEI PARK 2153,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2366,"ACTOWERS is a manufacturing company based in Alberton and Johannesburg, conducting business as manufacturers and fabricators of steel communication towers, portal factories, steel fencing, diesel and water tanks, solar structures and general steel engineering. ACTOWERS also specialises in the management of turnkey telecommunications network projects including GSM, WLL, fixed wireless and VSAT technology.",Africa Cellular Park 10 Tennyson Drive    TULISA PARK 2001,http://www.africacellular.co.za
Current,,NSTA,,Audit Firm,NSTA,,3677,,921297,NEXIA SAB & T,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2366,,,
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2366,,,
Current,+27 11 530 8400,AFETF,,ETF Issuer,AFETF,+27 11 530 8410,3808,africaetf@standardbank.co.za,2013/022008/07,AFRICA ETF ISSUER LTD (RF),,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3808,,,
Current,+27 11 721 7125,SPSTA,,Sponsor,STD,+27 86 5876824,791,natalie.di-sante@standardbank.co.za,1962/000738/06,THE STANDARD BANK OF SA LTD,PO Box 61690 Marshalltown    Johannesburg 2017,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3808,,3rd Floor East Wing 30 Baker Street Rosebank  Johannesburg 2196,http://www.standardbank.co.za
Current,+264 061 0227647,TRSC,,Transfer Secretary,TRSC,+264 061 0248531,854,,,Transfer Secretaries,P O Box 2410 Windhoek     ,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3808,,,
Current,+27 21 460 9400,AOO,,Equity Issuer,AOO,+27 21 460 9575,903,,1947/027461/06,AFRICAN AND OVERSEAS ENTERPRISES LD,PO Box 1856     CAPE TOWN 8000,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=903,"The business of the company is that of a financial and holding company. The company holds 72.62% of the ordinary shares and 51.94% of the 'N' ordinary shares of Rex Trueform Clothing Company Ltd (""Rex Trueform"").",Rex Buildings 263 Victoria Road Salt River   CAPE TOWN 7925,http://www.rextrueform.com
Current,,KPMGI,,Audit Firm,KPMGI,,3676,,4620207565,KPMG INCORPORATED,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=903,,,
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=903,,,
Current,+27 11 475 7465,ADW,,Equity Issuer,ADW,+27 11 475 7413,2123,info@afdawn.co.za,1998/020520/06,AFRICAN DAWN CAPITAL LIMITED,PO Box 5405     Tygervalley 7536,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2123,"African Dawn Capital Limited (“Afdawn”) was formed in 1998 as a micro finance company which, following its listing on the Alternative Exchange of the JSE in 2004, grew into a niche finance provider covering micro finance, debtor discounting and structured property finance",202 Waterfront Terraces Waterfont Road    Bellville 7530,http://www.afdawn.co.za
Current,,GT,,Audit Firm,GT,,3682,,903485,GRANT THORNTON,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2123,,,
Current,+27 11 809 7500,DASAS,,Designated Advisor,SPSAS,+27 11 809 7726,50,info@sasfin.com,1951/002280/06,Sasfin Bank Ltd,PO Box 299     Johannesburg 2000,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2123,,29 Scott Street WAVERLEY    Johannesburg 2090,http://www.sasfin.com
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2123,,,
Current,+27 31 514 7300,ADI,,Equity Issuer,ADI,+27 31 514 7494,2045,enquiries@adaptit.co.za,1998/017276/06,ADAPT IT HOLDINGS LIMITED,PO BOX 5207 Rydall Vale Park La Lucia Ridge Office Estate   DURBAN 4019,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2045,"Adapt IT is an innovative information technology (IT) services and specialised solutions provider, delivering IT solutions to some of the most successful Manufacturing, Financial Services and Education organisations in over 20 countries worldwide. Adapt IT’s differentiated IT product and service offerings set it apart in the marketplace and enable its customers to have uniquely tailored solutions powering the day-to-day efficiencies within their businesses.",4 and 5 Rydall Vale Office Park Rydall Vale Crescent    LA LUCIA RIDGE 4051,http://www.adaptit.co.za
Current,,D&T,,Audit Firm,D&T,,3679,,926973,DELOITTE & TOUCHE,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2045,,,
Current,+27 11 325 6363,MER,,Sponsor,MER,+27 11 325 6362,2636,info@merchantec.co.za,2008/014219/07,MERCHANTEC CAPITAL,PO Box 41480 Craighall    Johannesburg 2024,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2045,,"2nd Floor, North Block Hyde Park Office Towers Cnr 6th Road & Jan Smuts Avenue   Hyde Park 2196",http://www.merchantec.co.za
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2045,,,
Current,+27 11 244 5300,ADR,,Equity Issuer,ADR,+27 11 244 5310,875,info@adcorp.co.za,1974/001804/06,ADCORP HOLDINGS LIMITED,PO Box 70635     BRYANSTON 2021,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=875,"Adcorp Holdings Limited is an investment holding company whose subsidiaries carry on business, in South Africa, Africa
and Australia, in the permanent recruitment and flexible staffing sectors, independent outsourcing as well as in the
segments of business process outsourcing, training and financial services.","Adcorp Office Park, Nicolway Bryanson Cnr William Nicol Drive & Wedgewood Link    BRYANSTON 2021",http://www.adcorp.co.za
Current,,D&T,,Audit Firm,D&T,,3679,,926973,DELOITTE & TOUCHE,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=875,,,
Current,+27 11 806 5616,SPDEL,,Sponsor,SPDEL,+27 11 806 5666,803,cpretorius@deloitte.co.za,1996/000037/07,Deloitte & Touche Sponsor Services (Pty) Ltd,Private Bag X6 Gallo Manor    Johannesburg 2052,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=875,,Deloitte Place The Woodlands 20 Woodlands Drive Woodmead  Johannesburg 2052,http://www.deloitte.co.za
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=875,,,
Current,+27 86 154 6572,LINK,,Transfer Secretary,LINK,+27 86 674 4381,857,info@linkmarketservices.co.za,2000/0072369/07,Link Market Services SA (Pty) Ltd,P O Box 4844     JOHANNESBURG 2000,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=875,,,
Current,+27 12 818 7200,BIAD,,Interest Rate Issuer,ADF1,+27 12 349 5201,3049,sarc@afdb.org,2011/000002/00,AFRICAN DEVELOPMENT BANK,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3049,,,http://www.afdb.org
Current,+264 061 0227647,TRSC,,Transfer Secretary,TRSC,+264 061 0248531,854,,,Transfer Secretaries,P O Box 2410 Windhoek     ,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3049,,,
Current,+27 11 256 9000,ABL,,Equity Issuer,ABL,+27 11 256 9304,1858,investor.relations@africanbank.co.za,1946/021193/06,AFRICAN BANK INVESTMENTS LIMITED,Private Bag X170     MIDRAND 1685,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=1858,"African Bank Investments Limited (registration number
1946/021193/06), a public limited liability company incorporated in South Africa on 30 March 1946 and listed on the JSE (and registered as a controlling company of African Bank in terms of the Banks Act), with registered office situated at 59 16th Road,
Halfway House, Midrand;",59 16th Road     MIDRAND 1685,http://www.abil.co.za
Current,,D&T,,Audit Firm,D&T,,3679,,926973,DELOITTE & TOUCHE,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=1858,,,
Current,+27 11 282 8000,SPRAN,,Sponsor,RANM,+27 11 282 8008,785,sponsorteam@rmb.co.za,1929/001225/06,Rand Merchant Bank Corporate Finance Division,P O Box 786273     SANDTON 2146,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=1858,,1 Merchant Place Cnr Fredman Drive & Rivonia Road Sandton   Johannesburg 2196,http://www.rmb.co.za
Current,+27 86 154 6572,LINK,,Transfer Secretary,LINK,+27 86 674 4381,857,info@linkmarketservices.co.za,2000/0072369/07,Link Market Services SA (Pty) Ltd,P O Box 4844     JOHANNESBURG 2000,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=1858,,,
Current,,BIABL,,Interest Rate Issuer,AFR5,,2962,,1975/002526/06,AFRICAN BANK LIMITED,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2962,,,
Current,+264 061 0227647,TRSC,,Transfer Secretary,TRSC,+264 061 0248531,854,,,Transfer Secretaries,P O Box 2410 Windhoek     ,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2962,,,
Current,+27 21 702 2745,ACP,,Equity Issuer,ACP,+27 21 702 2738,2242,info@acucap.co.za,2001/021725/06,ACUCAP PROPERTIES LIMITED,PO Box 31079     TOKAI 7966,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2242,"Acucap is a Property Loan Stock company (‘PLS’) that was formed
in 2001 and listed on the Johannesburg Stock Exchange (‘JSE’) in
March 2002, and is governed by the Companies Act of 2008. Its
capital structure comprises a variable rate debenture (governed
by a debenture trust deed) linked to a share, together comprising
a linked unit (‘units’). The net income of the fund is not subject
to taxation, and is distributed in full every six months to linked
unitholders in Acucap in the form of interest on their debentures.
Unitholders pay tax on the distribution received according to their
individual tax status.","Suite A11, Westlake Square Westlake Drive Westlake   CAPE TOWN 8001",http://www.acucap.co.za
Current,,KPMGI,,Audit Firm,KPMGI,,3676,,4620207565,KPMG INCORPORATED,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2242,,,
Current,+27 11 011 9200,SPBDO,,Sponsor,SPBDO,+27 86 574 2937,814,sponsor@questco.co.za,2004/081276/07,QUESTCO (PTY) LIMITED,PO Box 98956 Sloane Park    Johannesburg 2152,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2242,,The Pivot Entrance D 2nd Floor 1 Motecasino Boulevard  Fourways 2055,http://www.questco.co.za
Current,+27 11 8956000,ACSPO,,Sponsor,ABCAP1,+27 11 8957829,2994,equitysponsor@absacapital.com,1986/004794/06,ABSA CAPITAL,Private Bag x10056    Johannesburg 2146,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2242,,15 Alice Lane Sandton    Johannesburg 2196,http://www.absacapital.com
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2242,,,
Current,+44 207 248 6059,AEA,,Equity Issuer,AEA,+44 207 691 7745,2495,info@africaneagle.co.uk,3912362,AFRICAN EAGLE RESOURCES PLC,2nd Floor 6 - 7 Queen Street    LONDON EC4N 1SP,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2495,"African Eagle is a nickel exploration and development company listed on the London AIM (AFE) and Johannesburg AltX (AEA) stock exchanges.


The Company flagship asset is the Dutwa Nickel Laterite Project in northern Tanzania.  The development of the Feasibility Study has recently been suspended.  The Company also has nickel sulphide exploration targets at Dutwa and near by at Zanzui.",64 New Cavendish Street     LONDON W1G 8TB,http://www.africaneagle.co.uk
Current,+27 11 325 6363,MER,,Designated Advisor,MER,+27 11 325 6362,2637,info@merchantec.co.za,2008/014219/07,MERCHANTEC CAPITAL,PO Box 41480 Craighall    Johannesburg 2024,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2495,,"2nd Floor, North Block Hyde Park Office Towers Cnr 6th Road & Jan Smuts Avenue   Hyde Park 2196",http://www.merchantec.co.za
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2495,,,
Current,,BIAOU,,Interest Rate Issuer,AOU1,,3055,,2011/000008/00,ACCOUNT ON US (PTY) LTD,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3055,,,
Current,+264 061 0227647,TRSC,,Transfer Secretary,TRSC,+264 061 0248531,854,,,Transfer Secretaries,P O Box 2410 Windhoek     ,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=3055,,,
Current,+27 11 676 8000,ADH,,Equity Issuer,ADH,+27 11 783 2640,1957,groupsec@advtech.co.za,1990/001119/06,ADVTECH LIMITED,PO Box 2369     RANDBURG 2125,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=1957,"The ADvTECH is one of the largest diversified education, training and placement groups in South Africa. It is listed in the Support Services- Education, Business Training and Employment Agencies"" sector of the JSE Ltd (""JSE""). The Education division, comprising the schools, tertiary, university, skills development and property divisions, offers quality education from pre-primary to diploma, degree and post-graduate levels, including adult basic education & training. The recruitment division is a significant force in niche areas of the placement industry.","ADVTECH House, Inanda Greens 54 Wierda Road West Wierda Valley   SANDTON 2196",http://www.advtech.co.za
Current,,D&T,,Audit Firm,D&T,,3679,,926973,DELOITTE & TOUCHE,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=1957,,,
