family_name,given_name,name,pa_url,summary,telephone_number,email,popit_id,source_url
Matlhoko,Abinaar Modikela,Abinaar Modikela Matlhoko,http://www.pa.org.za/person/abinaar-modikela-matlhoko/,,,,za.org.pa.www/core_person/6995,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6995
Segaole,Abinar Benny,Abinar Benny Segaole,http://www.pa.org.za/person/abinar-benny-segaole/,,,,za.org.pa.www/core_person/3994,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3994
Rambau,Abinar,Abinar Rambau,http://www.pa.org.za/person/abinar-rambau/,,,,za.org.pa.www/core_person/3870,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3870
Naidoo,Abner Othneil,Abner Othneil Naidoo,http://www.pa.org.za/person/abner-othneil-naidoo/,,,,za.org.pa.www/core_person/4028,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4028
,,Abraham Dube,http://www.pa.org.za/person/abraham-dube/,,081 801 9954,,za.org.pa.www/core_person/3690,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3690
Du Plooy,Abraham,Abraham Du Plooy,http://www.pa.org.za/person/abraham-du-plooy/,,,,za.org.pa.www/core_person/6546,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6546
Nel,Abraham Gerhardus Daniel,Abraham Gerhardus Daniel Nel,http://www.pa.org.za/person/abraham-gerhardus-daniel-nel/,,,,za.org.pa.www/core_person/9319,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9319
Gumede,Abram Jim Ncelise,Abram Jim Ncelise Gumede,http://www.pa.org.za/person/abram-jim-ncelise-gumede/,,,,za.org.pa.www/core_person/8601,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8601
Khoza,Abram,Abram Khoza,http://www.pa.org.za/person/abram-khoza/,,,,za.org.pa.www/core_person/5095,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5095
Mudau,Abram Molefe,Abram Molefe Mudau,http://www.pa.org.za/person/abram-molefe-mudau/,,,,za.org.pa.www/core_person/4332,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4332
Hlongoane,Abram Welly,Abram Welly Hlongoane,http://www.pa.org.za/person/abram-welly-hlongoane/,,,,za.org.pa.www/core_person/4878,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4878
Nyama,Absolome Nyakallo,Absolome Nyakallo Nyama,http://www.pa.org.za/person/absolome-nyakallo-nyama/,,,,za.org.pa.www/core_person/4660,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4660
,,Achmat Semaar,http://www.pa.org.za/person/achmat-semaar/,,083 942 1384,,za.org.pa.www/core_person/3742,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3742
Williams,Achmat,Achmat Williams,http://www.pa.org.za/person/achmat-williams/,,,,za.org.pa.www/core_person/7975,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7975
Fisher,Adam David,Adam David Fisher,http://www.pa.org.za/person/adam-david-fisher/,,,,za.org.pa.www/core_person/9262,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9262
Magabane,Adam Elias,Adam Elias Magabane,http://www.pa.org.za/person/adam-elias-magabane/,,,,za.org.pa.www/core_person/5860,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5860
Sibuyi,Adam,Adam Sibuyi,http://www.pa.org.za/person/adam-sibuyi/,,,,za.org.pa.www/core_person/3866,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3866
Amardien,Adeelah,Adeelah Amardien,http://www.pa.org.za/person/adeelah-amardien/,,,,za.org.pa.www/core_person/7429,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7429
Pringle,Adeela,Adeela Pringle,http://www.pa.org.za/person/adeela-pringle/,,,,za.org.pa.www/core_person/7444,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7444
Campbell,Adele Noreen,Adele Noreen Campbell,http://www.pa.org.za/person/adele-noreen-campbell/,,,,za.org.pa.www/core_person/5490,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5490
Skosana,Adel Nontethelelo,Adel Nontethelelo Skosana,http://www.pa.org.za/person/adel-nontethelelo-skosana/,,,,za.org.pa.www/core_person/8510,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8510
Botha,Adieba,Adieba Botha,http://www.pa.org.za/person/adieba-botha/,,,,za.org.pa.www/core_person/8795,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8795
,,Adre` Paulse,http://www.pa.org.za/person/adre-paulse/,,084 678 8821,,za.org.pa.www/core_person/3750,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3750
Van Der Merwe,Adriaan,Adriaan Van Der Merwe,http://www.pa.org.za/person/adriaan-van-der-merwe/,,,,za.org.pa.www/core_person/9398,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9398
Randall,Adriana Maria,Adriana Maria Randall,http://www.pa.org.za/person/adriana-maria-randall/,,,,za.org.pa.www/core_person/6474,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6474
Williams,Adrian John,Adrian John Williams,http://www.pa.org.za/person/adrian-john-williams/,"Mr Williams has been an MP since 2009 having served as a Member of the Portfolio Committee on Public Service and Administration as well as the Portfolio Committee on Co-Operative Governance and Traditional Affairs. He joined the ANC, SACP and Chemical Workers Industrial Union in 1990 where he served as the ANC Secunda branch treasurer (1991-1992). Mr Williams was also active in the Yeoville branch of the ANC and SACP Structures (1993-1997). He has served as the SACP Secunda branch Secretary (1998), ANC Secunda Branch Secretary (1999), as a Mpumalanga additional PEC member (1999-2001), as Mpumalanga SACP Provincial Treasurer (2002-2005), a SAMWU Full-time Shop-steward (Govan Mbeki Local Municipality) and as the SACP Mpumalanga Provincial deputy Secretary (2006-to-date). (Source: anc.org.za)

Adrian John Williams's plenary attendance record for Feb-Apr [2013](/file_archive/Adrian-John-Williams-Attendance-2013 ""Adrian John Williams"") and [2012](/file_archive/Adrian-John-Williams-Attendance-2012 ""Adrian John Williams"").",,awilliams@parliament.gov.za,za.org.pa.www/core_person/1002,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1002
Maabane,Advocate Fenya,Advocate Fenya Maabane,http://www.pa.org.za/person/advocate-fenya-maabane/,,,,za.org.pa.www/core_person/7138,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7138
Cilliers,Agatha Wilhelmina,Agatha Wilhelmina Cilliers,http://www.pa.org.za/person/agatha-wilhelmina-cilliers/,,,,za.org.pa.www/core_person/6470,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6470
Kamaldien,Agmat,Agmat Kamaldien,http://www.pa.org.za/person/agmat-kamaldien/,,,,za.org.pa.www/core_person/5187,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5187
Mashishi,Agnes Christin,Agnes Christin Mashishi,http://www.pa.org.za/person/agnes-christin-mashishi/,"Agnes Christin Mashishi's plenary attendance record for Feb-Apr [2013](/file_archive/Agnes-Christin-Mashishi-Attendance-2013 ""Agnes Christin Mashishi Attendance"") and [2012](/file_archive/Agnes-Christin-Mashishi-Attendance-2012 ""Agnes Christin Mashishi Attendance"").",,amashishi@parliament.gov.za,za.org.pa.www/core_person/752,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
Nqandela,Agnes Mapule,Agnes Mapule Nqandela,http://www.pa.org.za/person/agnes-mapule-nqandela/,,,,za.org.pa.www/core_person/5685,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5685
Mtabasindi,Agnes,Agnes Mtabasindi,http://www.pa.org.za/person/agnes-mtabasindi/,,,,za.org.pa.www/core_person/8270,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8270
Qikani,Agnes Noluthando Daphne,Agnes Daphne Noluthando Qikani,http://www.pa.org.za/person/agnes-noluthando-daphne-qikani/,,(021) 403 2875/083 709 8460,aqikani@parliament.gov.za,za.org.pa.www/core_person/1063,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063
Mnyama,Agnes Tracy,Agnes Tracy Mnyama,http://www.pa.org.za/person/agnes-tracy-mnyama/,,,,za.org.pa.www/core_person/7962,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7962
Tsamai,Agnes,Agnes Tsamai,http://www.pa.org.za/person/agnes-tsamai/,,,,za.org.pa.www/core_person/6393,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6393
Pestana,Agostinho Antonio Perestrelo,Agostinho Antonio Perestrelo Pestana,http://www.pa.org.za/person/agostinho-antonio-perestrelo-pestana/,,,,za.org.pa.www/core_person/3920,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3920
Williams,Agrinette,Agrinette Williams,http://www.pa.org.za/person/agrinette-williams/,,,,za.org.pa.www/core_person/7827,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7827
,,Agrippa Maphisa,http://www.pa.org.za/person/agrippa-maphisa/,,073 151 0383,,za.org.pa.www/core_person/3827,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3827
Cassim,Ahmed,Ahmed Cassim,http://www.pa.org.za/person/ahmed-cassim/,,,,za.org.pa.www/core_person/8630,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8630
Shaik Emam,Ahmed Munzoor,Ahmed Munzoor Shaik Emam,http://www.pa.org.za/person/ahmed-munzoor-shaik-emam/,,,,za.org.pa.www/core_person/7763,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7763
Amod,Ahmed Rasheed Ismail,Ahmed Rasheed Ismail Amod,http://www.pa.org.za/person/ahmed-rasheed-ismail-amod/,,,,za.org.pa.www/core_person/8631,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8631
Roy,Aidhika,Aidhika Roy,http://www.pa.org.za/person/aidhika-roy/,,,,za.org.pa.www/core_person/7850,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7850
Mudzuli,Aifheli Jeofrey,Aifheli Jeofrey Mudzuli,http://www.pa.org.za/person/aifheli-jeofrey-mudzuli/,,,,za.org.pa.www/core_person/4753,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4753
Molefe,Akanyang Isaacs,Akanyang Isaacs Molefe,http://www.pa.org.za/person/akanyang-isaacs-molefe/,,,,za.org.pa.www/core_person/5175,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5175
Lekhula,Akanyang Reginaldohr Brains,Akanyang Reginaldohr Brains Lekhula,http://www.pa.org.za/person/akanyang-reginaldohr-brains-lekhula/,,,,za.org.pa.www/core_person/5798,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5798
Jora,Akhona,Akhona Jora,http://www.pa.org.za/person/akhona-jora/,,,,za.org.pa.www/core_person/5016,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5016
Mfaba,Akhona,Akhona Mfaba,http://www.pa.org.za/person/akhona-mfaba/,,,,za.org.pa.www/core_person/9024,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9024
Fuchs,Alan Joseph,Alan Joseph Fuchs,http://www.pa.org.za/person/alan-joseph-fuchs/,,,,za.org.pa.www/core_person/6462,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6462
Mcloughlin,Alan Ross,Alan Ross Mcloughlin,http://www.pa.org.za/person/alan-ross-mcloughlin/,,,,za.org.pa.www/core_person/6232,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6232
Winde,Alan Richard,Alan Richard Winde,http://www.pa.org.za/person/alan-winde/,,,,za.org.pa.www/core_person/1337,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1337
Msimango,Albert Boy,Albert Boy Msimango,http://www.pa.org.za/person/albert-boy-msimango/,,,,za.org.pa.www/core_person/7736,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7736
Mokoena,Albert Ditlhake,Albert Ditlhake Mokoena,http://www.pa.org.za/person/albert-ditlhake-mokoena/,,,,za.org.pa.www/core_person/8109,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8109
Mtshali,Albert Dumisani,Albert Dumisani Mtshali,http://www.pa.org.za/person/albert-dumisani-mtshali/,,,,za.org.pa.www/core_person/7710,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7710
Fritz,Albert Theo,Albert Theo Fritz,http://www.pa.org.za/person/albert-fritz/,,,,za.org.pa.www/core_person/1338,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1338
Masuku,Albertinah Khathazile,Albertinah Khathazile Masuku,http://www.pa.org.za/person/albertinah-khathazile-masuku/,,,,za.org.pa.www/core_person/8122,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8122
Mseleku,Albertina Kholeka,Albertina Kholeka Mseleku,http://www.pa.org.za/person/albertina-kholeka-mseleku/,,,,za.org.pa.www/core_person/9249,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9249
Nonjiwu,Albertina,Albertina Nonjiwu,http://www.pa.org.za/person/albertina-nonjiwu/,,,,za.org.pa.www/core_person/4087,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4087
,,Ms Lulama Ngidi,http://www.pa.org.za/person/ms-lulama-ngidi/,,,,za.org.pa.www/core_person/3854,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3854
Mashilwane,Albert Lekotse,Albert Lekotse Mashilwane,http://www.pa.org.za/person/albert-lekotse-mashilwane/,,,,za.org.pa.www/core_person/8062,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8062
Maarman,Albert,Albert Maarman,http://www.pa.org.za/person/albert-maarman/,,,,za.org.pa.www/core_person/5543,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5543
Metsing,Albert,Albert Metsing,http://www.pa.org.za/person/albert-metsing/,,,,za.org.pa.www/core_person/8233,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8233
Liwani,Albert Mtutuzeli,Albert Mtutuzeli Liwani,http://www.pa.org.za/person/albert-mtutuzeli-liwani/,,,,za.org.pa.www/core_person/8459,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8459
Mahlangu,Albert Vusumuzi,Albert Vusumuzi Mahlangu,http://www.pa.org.za/person/albert-vusumuzi-mahlangu/,,,,za.org.pa.www/core_person/4220,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4220
Asia,Alec,Alec Asia,http://www.pa.org.za/person/alec-asia/,,,,za.org.pa.www/core_person/8842,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8842
Goliath,Alec,Alec Goliath,http://www.pa.org.za/person/alec-goliath/,,,,za.org.pa.www/core_person/7271,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7271
Bester,Aletta Catharina,Aletta Catharina Bester,http://www.pa.org.za/person/aletta-catharina-bester/,,,,za.org.pa.www/core_person/9320,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9320
Visagie,Aletta Catharina Johanna,Aletta Catharina Johanna Visagie,http://www.pa.org.za/person/aletta-catharina-johanna-visagie/,,,,za.org.pa.www/core_person/6615,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6615
Nefdt,Aletta Catharina,Aletta Catharina Nefdt,http://www.pa.org.za/person/aletta-catharina-nefdt/,,,,za.org.pa.www/core_person/9284,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9284
Makola,Aletta Itumeleng,Aletta Itumeleng Makola,http://www.pa.org.za/person/aletta-itumeleng-makola/,,,,za.org.pa.www/core_person/8069,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8069
Isaacs,Alexander Jonathan,Alexander Jonathan Isaacs,http://www.pa.org.za/person/alexander-jonathan-isaacs/,,,,za.org.pa.www/core_person/7309,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7309
Middelberg,Alexander Willem Frederik,Alexander Willem Frederik Middelberg,http://www.pa.org.za/person/alexander-willem-frederik-middelberg/,,,,za.org.pa.www/core_person/6283,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6283
Van Wyk,Alexandra Amanda,Alexandra Amanda Van Wyk,http://www.pa.org.za/person/alexandra-amanda-van-wyk/,,,,za.org.pa.www/core_person/5879,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5879
Beukes,Alexandra Jennifer,Alexandra Jennifer Beukes,http://www.pa.org.za/person/alexandra-jennifer-beukes/,,,,za.org.pa.www/core_person/4581,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4581
Ndlazi,Alexia Zintle,Alexia Zintle Ndlazi,http://www.pa.org.za/person/alexia-zintle-ndlazi/,"Alexia Zintle Ndlazi's plenary attendance record for Feb-Apr [2013](/file_archive/alexia-zintle-ndlazi-attendance-2013 ""alexia zintle ndlazi attendance"") and [2012](/file_archive/alexia-zintle-ndlazi-attendance-2012 ""alexia zintle ndlazi attendance"").",,zndlazi@parliament.gov.za,za.org.pa.www/core_person/841,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/841
,,Alex Mokoena,http://www.pa.org.za/person/alex-mokoena/,,078 8000559,,za.org.pa.www/core_person/3584,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3584
Maqena-Potsane,Aleymaria Malefu,Aleymaria Malefu Maqena-Potsane,http://www.pa.org.za/person/aleymaria-malefu-maqena-potsane/,,,,za.org.pa.www/core_person/5267,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5267
Ncube,Alfred Butiki,Alfred Butiki Ncube,http://www.pa.org.za/person/alfred-butiki-ncube/,,,,za.org.pa.www/core_person/6503,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6503
Skhosana,Alfred Landwa,Alfred Landwa Skhosana,http://www.pa.org.za/person/alfred-landwa-skhosana/,,,,za.org.pa.www/core_person/6779,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6779
Mpontshane,Alfred Mkhipheni,Alfred Mkhipheni Mpontshane,http://www.pa.org.za/person/alfred-mkhipheni-mpontshane/,,,ampontshane@parliament.gov.za,za.org.pa.www/core_person/825,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825
Myende,Alfred Mthokozisi,Alfred Mthokozisi Myende,http://www.pa.org.za/person/alfred-mthokozisi-myende/,,,,za.org.pa.www/core_person/6946,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6946
Mtsi,Skuta Alfred,Skuta Alfred Mtsi,http://www.pa.org.za/person/alfred-mtsi/,,,nyono@ecleg.gov.za,za.org.pa.www/core_person/1339,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1339
Nkosinkulu,Alfred Mzwandile,Alfred Mzwandile Nkosinkulu,http://www.pa.org.za/person/alfred-mzwandile-nkosinkulu/,,,,za.org.pa.www/core_person/6192,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6192
Motsi,Alfred Norman,Alfred Norman Motsi,http://www.pa.org.za/person/alfred-norman-motsi/,,,,za.org.pa.www/core_person/7163,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7163
Ndlovu,Alfred Sandile,Alfred Sandile Ndlovu,http://www.pa.org.za/person/alfred-sandile-ndlovu/,,,,za.org.pa.www/core_person/6516,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6516
Xulu,Alfred Thomas,Alfred Thomas Xulu,http://www.pa.org.za/person/alfred-thomas-xulu/,,,,za.org.pa.www/core_person/7893,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7893
Tapala,Alfred Tshepo,Alfred Tshepo Tapala,http://www.pa.org.za/person/alfred-tshepo-tapala/,,,,za.org.pa.www/core_person/7834,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7834
Ponco,Alice Nomvula,Alice Nomvula Ponco,http://www.pa.org.za/person/alice-nomvula-ponco/,,,aponco@ecleg.gov.za,za.org.pa.www/core_person/1340,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1340
Lucas,Alicia Anne,Alicia Anne Lucas,http://www.pa.org.za/person/alicia-anne-lucas/,,,,za.org.pa.www/core_person/6497,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6497
Kobo,Alina Mantwa,Alina Mantwa Kobo,http://www.pa.org.za/person/alina-mantwa-kobo/,,,,za.org.pa.www/core_person/6740,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6740
Mfulo,Alina,Alina Mfulo,http://www.pa.org.za/person/alina-mfulo/,"Alina Mfulo's plenary attendance record for Feb-Apr [2013](/file_archive/Alina-Mfulo-Attendance-2013 ""Alina Mfulo Attendance"") and [2012](/file_archive/Alina-Mfulo-Attendance-2012 ""Alina Mfulo Attendance"")",(021) 403 2911,,za.org.pa.www/core_person/782,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/782
Sauls,Allan Eugene Keith,Allan Eugene Keith Sauls,http://www.pa.org.za/person/allan-eugene-keith-sauls/,,,,za.org.pa.www/core_person/6261,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6261
